"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2010-2011","37.4",""
"Albania","2008-2009","98.6",""
"Algeria","2006","99.3",""
"Andorra","2010",">90",""
"Antigua and Barbuda","2010",">90",""
"Argentina","2010",">90",""
"Armenia","2010","99.6",""
"Australia","2010",">90",""
"Austria","2011",">90",""
"Azerbaijan","2006","93.6",""
"Bahrain","2009",">90",""
"Bangladesh","2006","9.8",""
"Barbados","2007",">90",""
"Belarus","2011",">90",""
"Belgium","2011",">90",""
"Belize","2011","95.2",""
"Benin","2006","60.3",""
"Bhutan","2010","99.9",""
"Bolivia (Plurinational State of)","2008","75.8",""
"Bosnia and Herzegovina","2006","99.5",""
"Botswana","2007-2008","72.2",""
"Brazil","2010","93.4",""
"Brunei Darussalam","2008",">90",""
"Bulgaria","2011",">90",""
"Burkina Faso","2010","76.9",""
"Burundi","2010","75.2",""
"Cabo Verde","2010","91.4",""
"Cambodia","2010","62.1",""
"Cameroon","2006","70.1",""
"Canada","2009",">90",""
"Central African Republic","2010","61",""
"Chad","2010","15.7",""
"Chile","2009","99.5",""
"Colombia","2010","96.5",""
"Congo","2005","81.1",""
"Cook Islands","2010",">90",""
"Costa Rica","2011",">90",""
"Côte d’Ivoire","2006","54.9",""
"Croatia","2011",">90",""
"Cuba","2011","100",""
"Cyprus","2011",">90",""
"Czech Republic","2011",">90",""
"Democratic People's Republic of Korea","2009","100",""
"Democratic Republic of the Congo","2010","27.8",""
"Denmark","2011",">90",""
"Djibouti","2006","89.2",""
"Dominica","2010",">90",""
"Dominican Republic","2009-2010","79.2",""
"Ecuador","2010","90",""
"Egypt","2005","99",""
"El Salvador","2008","98.6",""
"Estonia","2011",">90",""
"Ethiopia","2005","6.6",""
"Fiji","2009",">90",""
"Finland","2011",">90",""
"France","2011",">90",""
"Gambia","2010","52.5",""
"Georgia","2011","98.5",""
"Germany","2011",">90",""
"Ghana","2011","62.5",""
"Greece","2011",">90",""
"Guatemala","2008","96.7",""
"Guinea","2005","43.2",""
"Guinea-Bissau","2010","24.1",""
"Guyana","2009","87.9",""
"Haiti","2005-2006","81.1",""
"Honduras","2005-2006","93.5",""
"Hungary","2011",">90",""
"Iceland","2011",">90",""
"India","2005-2006","41.1",""
"Indonesia","2007","53.1",""
"Iran (Islamic Republic of)","2008",">90",""
"Iraq","2006","95",""
"Ireland","2011",">90",""
"Israel","2011",">90",""
"Italy","2011",">90",""
"Jamaica","2008","97.8",""
"Japan","2010",">90",""
"Jordan","2010",">90",""
"Kazakhstan","2010-2011","99.7",""
"Kenya","2008-2009","60",""
"Kiribati","2009","93.5",""
"Kuwait","2010",">90",""
"Kyrgyzstan","2005-2006","94.2",""
"Lao People's Democratic Republic","2006","71.5",""
"Latvia","2011",">90",""
"Lebanon","2009","99.5",""
"Lesotho","2009","45.1",""
"Liberia","2007","3.6",""
"Lithuania","2011",">90",""
"Luxembourg","2011",">90",""
"Madagascar","2008-2009","79.7",""
"Malaysia","2010",">90",""
"Maldives","2009","92.5",""
"Mali","2010","80.8",""
"Malta","2011",">90",""
"Marshall Islands","2007","95.9",""
"Mauritania","2007","55.9",""
"Mauritius","2011",">90",""
"Mongolia","2010","99",""
"Montenegro","2005-2006","97.9",""
"Mozambique","2008","30.8",""
"Myanmar","2009-2010","72.4",""
"Namibia","2006-2007","67.1",""
"Nauru","2007","82.6",""
"Nepal","2011","42.3",""
"Netherlands","2011",">90",""
"New Zealand","2011",">90",""
"Nicaragua","2006","81.3",""
"Niger","2006","31.8",""
"Nigeria","2008","30",""
"Niue","2009",">90",""
"Norway","2011",">90",""
"Pakistan","2006-2007","26.5",""
"Panama","2011",">90",""
"Peru","2007","92.9",""
"Philippines","2009",">90",""
"Poland","2011",">90",""
"Portugal","2011",">90",""
"Qatar","2011",">90",""
"Republic of Korea","2010",">90",""
"Republic of Moldova","2011",">90",""
"Romania","2011",">90",""
"Russian Federation","2011",">90",""
"Rwanda","2010","63.2",""
"Saint Vincent and the Grenadines","2009",">90",""
"Samoa","2009","47.7",""
"San Marino","2011",">90",""
"Sao Tome and Principe","2008-2009","75.1",""
"Senegal","2010-2011","74.6",""
"Serbia","2010","98.9",""
"Seychelles","2011",">90",""
"Sierra Leone","2010","78",""
"Singapore","2011",">90",""
"Slovakia","2011",">90",""
"Slovenia","2011",">90",""
"Somalia","2006","3",""
"South Africa","2008","91.8",""
"South Sudan","2010","35.4",""
"Spain","2011",">90",""
"Sri Lanka","2006-2007","97.2",""
"Sudan","2010","59.3",""
"Suriname","2006","96.6",""
"Swaziland","2010","49.5",""
"Sweden","2011",">90",""
"Switzerland","2011",">90",""
"Syrian Arab Republic","2006","95.2",""
"Tajikistan","2005","88.3",""
"Thailand","2005-2006","99.4",""
"The former Yugoslav Republic of Macedonia","2011","99.7",""
"Timor-Leste","2009-2010","55.2",""
"Togo","2010","77.9",""
"Trinidad and Tobago","2006","95.8",""
"Tunisia","2008",">90",""
"Turkey","2008","93.7",""
"Turkmenistan","2006","95.5",""
"Tuvalu","2007","49.9",""
"Uganda","2011","29.9",""
"Ukraine","2005","99.8",""
"United Kingdom","2010",">90",""
"United Republic of Tanzania","2010","16.3",""
"United States of America","2009",">90",""
"Uruguay","2010",">90",""
"Uzbekistan","2006","99.9",""
"Vanuatu","2007","25.6",""
"Venezuela (Bolivarian Republic of)","2008",">90",""
"Viet Nam","2011","95",""
"Yemen","2006","22.3",""
"Zambia","2007","14",""
"Zimbabwe","2010-2011","48.8",""

